xneg_TopPush,yneg_TopPush,xpos_TopPush,ypos_TopPush,xquant_TopPush,yquant_TopPush
-67.52281580841169,0.0033089173612548418,80.6896231634761,0.00434531398974019,,
-63.542253428717565,0.0032004160079762084,83.78367887619844,0.0040629147776683385,,
-59.561691049023445,0.0030932354471833357,86.87773458892079,0.003779322108629105,,
-55.581128669329324,0.0029851999167376316,89.97179030164313,0.0035007049850431316,,
-51.6005662896352,0.002875294825181651,93.06584601436546,0.003233038550736894,,
-47.62000390994108,0.0027636228964825374,96.15990172708781,0.002981703780078292,,
-43.63944153024696,0.002650787548381001,99.25395743981015,0.0027510500967178374,,
-39.658879150552835,0.0025373498200605272,102.34801315253249,0.0025439045309494242,,
-35.678316770858714,0.002423718516919388,105.44206886525484,0.0023611134040749746,,
-31.697754391164594,0.002310332620367896,108.53612457797718,0.0022012726684386367,,
-27.717192011470473,0.0021977331192671755,111.63018029069951,0.0020608040203790342,,
-23.736629631776353,0.0020862881448785887,114.72423600342186,0.0019344619440512406,,
-19.756067252082232,0.001975728967111564,117.8182917161442,0.0018162355864334385,,
-15.77550487238811,0.0018649070611622893,120.91234742886654,0.0017004785833007918,,
-11.794942492693988,0.0017520884082228008,124.00640314158888,0.0015830044913483514,,
-7.814380112999867,0.0016357504157778033,127.10045885431123,0.001461863629748752,,
-3.8338177333057453,0.0015155019306543095,130.19451456703356,0.0013375869028155458,,
0.14674464638837614,0.0013926305406720496,133.2885702797559,0.0012128294574924939,,
4.127307026082498,0.0012699518722630566,136.38262599247824,0.0010915246448497313,,
8.107869405776619,0.0011509909611406735,139.4766817052006,0.0009778022382597837,,
12.08843178547074,0.0010388777308658489,142.57073741792294,0.0008749803312641707,,
16.068994165164863,0.000935497382213232,145.66479313064528,0.0007848899212715782,,
20.049556544858984,0.0008412948876880484,148.75884884336762,0.0007076609854921223,,
24.030118924553104,0.0007557433451472484,151.85290455608995,0.0006419447338387566,,
28.010681304247225,0.0006780772097047993,154.9469602688123,0.00058542676845755,,
31.99124368394135,0.0006077526625068816,158.04101598153463,0.00053543551714518,,
35.97180606363547,0.0005443581957029125,161.135071694257,0.0004894721582475901,,
39.95236844332959,0.0004871778305031306,164.22912740697933,0.00044555832931584486,,
43.93293082302371,0.00043491814776742364,167.32318311970167,0.0004023809166163833,,
47.91349320271783,0.0003859761425961669,170.417238832424,0.0003592778164005247,,
51.89405558241196,0.0003391535274916045,173.51129454514634,0.00031613712628056914,,
55.87461796210608,0.0002943210337276538,176.60535025786868,0.0002732740960327007,,
